fout	goed
'0000-03-23	23-03-0000
'0000-06-26	26-06-0000
-	00-00-0000
00-00-00	00-00-0000
0000-00-00	00-00-0000
03-6-1916	03-06-1916
04-@@-1916	04-00-1916
06-3-1935	06-03-1935
06051920	06-05-1920
1-1-1884	01-01-1884
1-1-1886	01-01-1886
1-1-1891	01-01-1891
1-1-1896	01-01-1896
1-10-1907	01-10-1907
1-11-1875	01-11-1875
1-11-1914	01-11-1914
1-12-1912	01-12-1912
1-12-1924	01-12-1924
1-2-1889	01-02-1889
1-3-1889	01-03-1889
1-4-1904	01-04-1904
1-4-1923	01-04-1923
1-4-1927	01-04-1927
1-5-1881	01-05-1881
1-6-1914	01-06-1914
1-7-1874	01-07-1874
1-7-1902	01-07-1902
1-7-1925	01-07-1925
1-8-1870	01-08-1870
1-8-1880	01-08-1880
1-9-1906	01-09-1906
1-9-1917	01-09-1917
1-9-1935	01-09-1935
10-2-1923	10-02-1923
10-5-1923	10-05-1923
10-6-1923	10-06-1923
11-02-240	11-02-1940
11-3-1880	11-03-1880
11-3-1889	11-03-1889
11-3-1906	11-03-1906
11-5-1902	11-05-1902
11-6-1911	11-06-1911
11-6-1921	11-06-1921
11-7-1907	11-07-1907
11-7-1924	11-07-1924
11-8-1923	11-08-1923
12-03-xxxx	12-03-0000
12-1-1907	12-01-1907
12-11-119	12-11-1919
12-2-1888	12-02-1888
12-2-1889	12-02-1889
12-3-1910	12-03-1910
12-3-1923	12-03-1923
12-4-1915	12-04-1915
12-5-1867	12-05-1867
12-5-1903	12-05-1903
12-6-1864	12-06-1864
12-6-1909	12-06-1909
12-6-1924	12-06-1924
12-6-1933	12-06-1933
12-7-1866	12-07-1866
12-8-1906	12-08-1906
12-9-1889	12-09-1889
12-9-1924	12-09-1924
13 jr.	
13-3-1883	13-03-1883
13-4-1896	13-04-1896
13-6-1884	13-06-1884
13-6-1904	13-06-1904
13-8-1881	13-08-1881
14-2-1906	14-02-1906
14-3-1914	14-03-1914
14-4-1886	14-04-1886
14-5-1870	14-05-1870
14-5-1888	14-05-1888
14-7-1902	14-07-1902
14-8-1916	14-08-1916
14-9-1911	14-09-1911
14-9-1922	14-09-1922
15-1-1875	15-01-1875
15-1-1890	15-01-1890
15-2-1880	15-02-1880
15-3-1866	15-03-1866
15-3-1913	15-03-1913
15-5-1901	15-05-1901
15-5-1914	15-05-1914
15-7-1879	15-07-1879
15-7-1888	15-07-1888
15-7-1910	15-07-1910
15-7-1911	15-07-1911
15-8-1891	15-08-1891
16-04-96	16-04-1896
16-1-1895	16-01-1895
16-1-1922	16-01-1922
16-11-37	16-11-1937
16-2-1902	16-02-1902
16-2-1928	16-02-1928
16-3-1929	16-03-1929
16-4-1922	16-04-1922
16-4-1927	16-04-1927
16-5-1920	16-05-1920
16-7-1891	16-07-1891
16-8-1896	16-08-1896
16-9-1868	16-09-1868
16-9-1893	16-09-1893
16-9-1894	16-09-1894
16-9-1922	16-09-1922
16-@@-1878	16-00-1878
17-1-1904	17-01-1904
17-2-1885	17-02-1885
17-2-1901	17-02-1901
17-2-1919	17-02-1919
17-2-1922	17-02-1922
17-3-1888	17-03-1888
17-3-1920	17-03-1920
17-4-1887	17-04-1887
17-4-1908	17-04-1908
17-7-1891	17-07-1891
17-7-1902	17-07-1902
17-8-1882	17-08-1882
17-9-1904	17-09-1904
17-9-1905	17-09-1905
18-03-64	18-03-1864
18-2-1879	18-02-1879
18-3-1887	18-03-1887
18-3-1894	18-03-1894
18-3-1928	18-03-1928
18-3-1935	18-03-1935
18-5-1878	18-05-1878
18-5-1886	18-05-1886
18-6-1940	18-06-1940
18-7-1884	18-07-1884
18-7-1898	18-07-1898
18-7-1909	18-07-1909
18-8-1890	18-08-1890
18-8-1912	18-08-1912
18-8-1915	18-08-1915
18-9-1897	18-09-1897
18-9-1930	18-09-1930
1801-1935	18-01-1935
1873-01-28	28-01-1873
1873-04-14	14-04-1873
1874-03-24	24-03-1874
1879-03-05	05-03-1879
1881-12-25	25-12-1881
1883-12-04	04-12-1883
1883-12-16	16-12-1883
1884-02-06	06-02-1884
1884-11-08	08-11-1884
1884-12-13	13-12-1884
1885-02-19	19-02-1885
1885-06-12	12-06-1885
1885-11-08	08-11-1885
1886-01-06	06-01-1886
1886-03-18	18-03-1886
1886-05-19	19-05-1886
1887-09-04	04-09-1887
1887-10-21	21-10-1887
1888-06-09	09-06-1888
1888-07-08	08-07-1888
1888-08-15	15-08-1888
1888-12-16	16-12-1888
1888-12-18	18-12-1888
1889-06-08	08-06-1889
1889-07-01	01-07-1889
1889-09-23	23-09-1889
1890-03-05	05-03-1890
1890-07-16	16-07-1890
1890-12-15	15-12-1890
1891-03-19	19-03-1891
1891-10-01	01-10-1891
1892-02-14	14-02-1892
1892-05-08	08-05-1892
1892-08-11	11-08-1892
1892-11-16	16-11-1892
1892-12-27	27-12-1892
1893-01-04	04-01-1893
1893-01-17	17-01-1893
1893-02-05	05-02-1893
1893-02-27	27-02-1893
1893-04-08	08-04-1893
1893-04-23	23-04-1893
1893-05-17	17-05-1893
1893-05-18	18-05-1893
1893-06-11	11-06-1893
1893-07-19	19-07-1893
1893-07-25	25-07-1893
1893-08-07	07-08-1893
1893-09-05	05-09-1893
1893-11-09	09-11-1893
1893-11-20	20-11-1893
1894-01-02	02-01-1894
1894-01-12	12-01-1894
1894-01-23	23-01-1894
1894-02-15	15-02-1894
1894-03-09	09-03-1894
1894-04-01	01-04-1894
1894-04-04	04-04-1894
1894-05-05	05-05-1894
1894-07-04	04-07-1894
1894-09-02	02-09-1894
1894-09-08	08-09-1894
1894-10-17	17-10-1894
1894-11-29	29-11-1894
1894-11-30	30-11-1894
1895-04-09	09-04-1895
1895-04-22	22-04-1895
1895-05-11	11-05-1895
1895-05-18	18-05-1895
1895-06-12	12-06-1895
1895-06-15	15-06-1895
1895-07-07	07-07-1895
1895-11-28	28-11-1895
1895-12-03	03-12-1895
1895-12-27	27-12-1895
1896-01-30	30-01-1896
1896-03-05	05-03-1896
1896-03-23	23-03-1896
1896-04-14	14-04-1896
1896-07-11	11-07-1896
1896-07-14	14-07-1896
1896-09-06	06-09-1896
1896-11-04	04-11-1896
1896-11-09	09-11-1896
1896-11-30	30-11-1896
1896-12-18	18-12-1896
1897-01-13	13-01-1897
1897-02-04	04-02-1897
1897-02-23	23-02-1897
1897-03-06	06-03-1897
1897-03-28	28-03-1897
1897-04-21	21-04-1897
1897-04-28	28-04-1897
1897-04-29	29-04-1897
1897-06-16	16-06-1897
1897-07-01	01-07-1897
1897-07-24	24-07-1897
1897-08-03	03-08-1897
1897-09-07	07-09-1897
1897-09-16	16-09-1897
1897-09-24	24-09-1897
1897-09-25	25-09-1897
1897-10-26	26-10-1897
1897-12-22	22-12-1897
1898-01-17	17-01-1898
1898-02-14	14-02-1898
1898-06-06	06-06-1898
1898-08-03	03-08-1898
1898-08-31	31-08-1898
1898-09-13	13-09-1898
1898-09-27	27-09-1898
1898-10-06	06-10-1898
1898-11-25	25-11-1898
1898-11-29	29-11-1898
1898-12-15	15-12-1898
1899-01-12	12-01-1899
1899-01-22	22-01-1899
1899-02-04	04-02-1899
1899-02-25	25-02-1899
1899-03-25	25-03-1899
1899-03-28	28-03-1899
1899-04-01	01-04-1899
1899-06-12	12-06-1899
1899-07-26	26-07-1899
1899-09-23	23-09-1899
1899-10-02	02-10-1899
19-1-1892	19-01-1892
19-2-12	19-02-1912
19-2-1909	19-02-1909
19-4-1893	19-04-1893
19-5-1928	19-05-1928
19-7-1885	19-07-1885
19-7-1907	19-07-1907
19-7-1923	19-07-1923
19-8-1902	19-08-1902
19-9-1890	19-09-1890
1914-02-00	00-02-1914
2-10-1919	02-10-1919
2-11-1880	02-11-1880
2-11-1904	02-11-1904
2-11-1921	02-11-1921
2-12-1910	02-12-1910
2-2-1921	02-02-1921
2-4-1943	02-04-1943
2-5-1910	02-05-1910
2-5-1930	02-05-1930
2-6-1898	02-06-1898
2-7-1908	02-07-1908
20-1-1904	20-01-1904
20-1-1907	20-01-1907
